Id,SalePrice
1461,114020.8847
1462,176052.9333
1463,175631.1741
1464,173473.6156
1465,169033.1403
1466,167530.8325
1467,155709.8596
1468,153684.1485
1469,177772.0663
1470,112015.2296
1471,177199.0219
1472,95854.1593
1473,106996.1374
1474,157038.1744
1475,105425.2198
1476,276258.7669
1477,206854.0659
1478,228916.2726
1479,246680.6467
1480,371890.8325
1481,273140.1172
1482,181926.6376
1483,175336.6279
1484,149692.8942
1485,143495.3271
1486,179076.6669
1487,288843.4436
1488,214160.3811
1489,160150.9532
1490,195966.2237
1491,172066.2239
1492,130639.1703
1493,199691.0118
1494,254200.2185
1495,253461.5548
1496,198831.4453
1497,174331.7666
1498,120425.249
1499,120425.249
1500,123353.8277
1501,155464.4854
1502,106329.5029
1503,188803.1696
1504,196356.5431
1505,199404.4897
1506,247683.4743
1507,267872.6706
1508,219171.0101
1509,177056.588
1510,162156.6083
1511,158861.6034
1512,201983.1891
1513,200076.2576
1514,233214.105
1515,305287.4674
1516,175326.6297
1517,147257.4558
1518,215449.7308
1519,197685.3567
1520,149406.372
1521,158431.8202
1522,212011.4649
1523,145933.6264
1524,138088.7465
1525,124908.727
1526,127200.9043
1527,126771.121
1528,135750.5565
1529,153990.7266
1530,185508.1647
1531,207299.0702
1532,119751.328
1533,178631.6328
1534,138628.0189
1535,182085.8275
1536,152565.3426
1537,104852.1755
1538,170629.9848
1539,241791.2191
1540,239019.5876
1541,158981.9178
1542,180563.225
1543,225707.0726
1544,95253.68299
1545,115388.7827
1546,135453.9467
1547,162985.2936
1548,149140.8225
1549,104189.9367
1550,168065.6792
1551,138661.7909
1552,200244.0599
1553,160855.1372
1554,134351.0994
1555,225621.2677
1556,130116.5941
1557,173934.2801
1558,97566.06549
1559,197242.0365
1560,180275.2873
1561,248113.2576
1562,113447.8404
1563,109436.5301
1564,182356.4209
1565,147378.5078
1566,198115.1399
1567,93964.33325
1568,215967.4721
1569,181762.583
1570,139521.3573
1571,182579.6457
1572,153560.9434
1573,201696.667
1574,171611.8397
1575,190952.0858
1576,191933.4419
1577,160723.9975
1578,154657.4507
1579,123905.8994
1580,178527.3665
1581,132644.8254
1582,111155.6631
1583,269029.3755
1584,220965.8006
1585,107144.3528
1586,77346.04773
1587,127773.9486
1588,156999.2094
1589,125804.3379
1590,142673.1012
1591,123189.594
1592,171325.3176
1593,108290.4415
1594,254602.7488
1595,176536.1053
1596,235019.0429
1597,230983.2809
1598,175521.0369
1599,133790.9141
1600,156282.9039
1601,63019.93952
1602,120722.5368
1603,122043.5053
1604,221466.6963
1605,205664.915
1606,169749.4457
1607,279057.6513
1608,178488.3717
1609,159577.9088
1610,149189.7856
1611,166740.9629
1612,190522.3026
1613,178201.8495
1614,121040.6778
1615,108296.2826
1616,108296.2826
1617,108296.2826
1618,110869.1409
